,Date,TweetURL,User,Source,Location,Tweet,Likes_Count,Retweet_Count,Quote_Count,Reply_Count
0,2022-09-03 22:07:42+00:00,https://twitter.com/Luke79345686/status/1566186199391272960,Luke79345686,Twitter for Android,,"@chrisotee @EtalePhilip #Azimio never bothered to prepare for the campaign, agents, tallying/verification of votes at Bomas... Or may be they believed so much in the deep state, the 4 opaque cows, The polls, board rooms professor, Azimio TV (#citizentv), Uhuru and Karua Mt. Kenya votes...",1,0,0,0
1,2022-09-03 21:45:15+00:00,https://twitter.com/Luke79345686/status/1566180546337701889,Luke79345686,Twitter for Android,,@EtalePhilip You (#azimio) used your time with 'pinky ponky' jokes. Judges are making a ruling based on that. Hapa social media no help.,0,0,0,0
2,2022-09-03 21:24:32+00:00,https://twitter.com/victoroduorany2/status/1566175336055934977,victoroduorany2,Twitter for Android,"Nairobi, Kenya",Lethal team. #azimio https://t.co/PYXKPDtd6a,0,0,0,0
3,2022-09-03 19:34:16+00:00,https://twitter.com/Osoro20Fred/status/1566147584762290177,Osoro20Fred,Twitter for Android,"Kiamokama, Kenya",Kwani hamuogopii teargals.... It's your turn to taste the waters😅😅😅 anyway #azimio stay victory is here💙💙💙💙 https://t.co/j90FWxDNdi,2,0,0,0
4,2022-09-03 19:17:35+00:00,https://twitter.com/Sily951/status/1566143384972152838,Sily951,Twitter for iPhone,,@HEBabuOwino @RaphaelTujuEGH #SupremeCourt should know #Raila had appointed cabinet secretaries😂😂,0,0,0,0
5,2022-09-03 18:51:47+00:00,https://twitter.com/upeohubnews/status/1566136894420914184,upeohubnews,Twitter for Android,Nairobi,"How Azimio la Umoja presidential candidate Raila Odinga embraced his lawyers after the closure of submissions at the presidential election petition. 

#SupremePetition #Raila #IEBC #Azimio #Juliesoweto #SupremeCourt https://t.co/Rqd0FGYqED",1,0,0,0
6,2022-09-03 18:32:52+00:00,https://twitter.com/SirAlfred006/status/1566132133718118406,SirAlfred006,Twitter for Android,"Brussels, Belgium. ",#Azimio soldiers trippin' https://t.co/xBXkUD4UMQ,1,0,0,0
7,2022-09-03 18:31:51+00:00,https://twitter.com/Honcalebamisi/status/1566131878821781504,Honcalebamisi,Twitter for Android,"Nairobi, Kenya","It is official ,supreme verdict 5/2  for #raila .Can you guess who the 2 are? I said it is official? Reward ksh.30,000

#PlanB #robbed #Parliament #Greece #Ivermectin",66,7,2,32
8,2022-09-03 18:02:20+00:00,https://twitter.com/ianpete43234114/status/1566124447651831808,ianpete43234114,Twitter for Android,,@Kenyans To be fair and give #azimio la umoja their rights,0,0,0,0
9,2022-09-03 17:28:04+00:00,https://twitter.com/chrisotee/status/1566115825487974400,chrisotee,Twitter for iPhone,Worldwide,@EtalePhilip @ahmednasirlaw @IEBCKenya Your description is only correct in your head and the rest of #Azimio fools! Literally a house of cards! You can fool some people some times but you can’t fool Kenyans all the times! These very different times!,0,0,0,0
10,2022-09-03 17:21:44+00:00,https://twitter.com/chrisotee/status/1566114229966360577,chrisotee,Twitter for iPhone,Worldwide,@EtalePhilip You see the problem is you never address the elephant in the room as #Azimio! You never bothered to understand what this contract with smartmatic was or how it was being actioned or systems laid therein which SCoK is using now to decide your case we’re meant to work!,13,2,0,2
11,2022-09-03 16:53:41+00:00,https://twitter.com/gedion_oyawa/status/1566107171573612544,gedion_oyawa,Twitter for Android,Ukraine,"""Kech winjo koda dende"" we must not demonstrate over the @Kenyajudiciary verdict in case it is passed in favor of @UDAKenya! In fact we must encourage more of the politicians the likes #KiraituMurungi from #Azimio to join the Government! It is the only way Kenyans will learn pain",0,0,0,0
12,2022-09-03 16:42:35+00:00,https://twitter.com/engithae/status/1566104377886027778,engithae,Twitter Web App,,https://t.co/q9CA5BjGBd #Azimio #Rutothe5th #Mutahi,0,0,0,0
13,2022-09-03 16:32:24+00:00,https://twitter.com/willie_ochieng/status/1566101817783685120,willie_ochieng,Twitter for Android,Kenya,As per the request of DCJ today we prayed for the SCoK Judges only tomorrow Justice is coming home #Azimio,0,0,0,0
14,2022-09-03 16:26:24+00:00,https://twitter.com/nyakushj/status/1566100305527316480,nyakushj,Twitter for Android,Nairobi,I will directly take part in campaigns for @RailaOdinga from next week prepare  for this  #istandwithbaba #baba #odinga #raila,0,0,0,0
15,2022-09-03 16:17:30+00:00,https://twitter.com/KasyulaSimon/status/1566098068805746690,KasyulaSimon,Twitter for Android,,"Its now nearly coming home. #Azimio on monday will take the victory. What we demand as voters is that #chebukati Must go and #Ruto must Return the certificate as quick as possible ...#we know you were in office , 5 yrs as a DP by only certificate not the sovereignty of the voter.",1,0,0,0
16,2022-09-03 16:16:33+00:00,https://twitter.com/Luke79345686/status/1566097828056899584,Luke79345686,Twitter for Android,,@ledamalekina @ahmednasirlaw He just made an observation. Don't come with rungu coz he has stated some facts. Let's see if mere trust and believe in his people will beat professionalism. That's has been the big difference between #azimio and #KenyaKwanza,0,0,0,0
17,2022-09-03 15:31:56+00:00,https://twitter.com/fai_vanny/status/1566086601607872513,fai_vanny,Twitter for Android,United States,"On Target #KenyaKwanza SUPPORTERS
#Azimio
#AkissForMwilu 
#TheDawnOfJustice https://t.co/tOL0EYd3C0",1,0,0,0
18,2022-09-03 14:47:36+00:00,https://twitter.com/Jobfarmlow/status/1566075441013719041,Jobfarmlow,Twitter for Android,,#Azimio way is the only way to go. https://t.co/58gwQFuFSB,0,0,0,0
19,2022-09-03 14:32:40+00:00,https://twitter.com/thenewshooked/status/1566071686079856642,thenewshooked,Article Tweetbot,N.Y.,"Azimio Invites Supporters for Peaceful Countrywide Marches: ""In Honour of Our Journey""
#News #Kenya #Raila #Chebukati #RailaOdinga #WinnieOdinga #WilliamRuto #WafulaChebukati #IEBC #AzimioLa #MarthaKarua #Winnie #Azimio
https://t.co/2KpAF7B9jj",0,0,0,0
20,2022-09-03 13:55:19+00:00,https://twitter.com/tracyaowuor/status/1566062287340949506,tracyaowuor,Twitter for Android,"Nairobi, Kenya","The perfect t-shirt if you just love Baba liwe liwalo. DM for orders.

#BeiYaJioni Willis Otieno #railatheenigma Luo Nyanza #Azimio Baba https://t.co/sTdiIbsab7",2,1,0,1
21,2022-09-03 13:52:28+00:00,https://twitter.com/EnosWafula4/status/1566061567686414342,EnosWafula4,Twitter for Android,"Busia, Kenya",mmm.provebs18:17. The first person to speak in court always seems right until his opponent begins to question him #Azimio Vs Iebc...time to accept and move on is about,1,0,0,0
